ORF,As,Ca,Cd,Cl, Co,Cu,Fe, K,Mg,Mn,Mo,Na,Ni,P,S,Se,Zn
YFR040W,-0.257317236,-0.545299952,0.290068777,0.447281236,0.183259845,0.317622859,-0.043003413,0.270811346,-0.221650452,-0.666973066,-0.346762712,0.302348051,0.126705814,0.93150097,0.315842285,0.258524733,0.52158421
YFR041C,-0.371081048,0.184798119,-0.06636312,0.080710616,-0.454232558,-0.170178397,1.381743772,-0.603171446,-0.2219928,0.330932102,1.600959646,-0.288258184,0.638406393,-0.452804312,-0.024805319,0.69195142,-0.680188204
YFR042W,0.07392422,-0.735034543,-0.162882117,-0.264567097,0.348443155,-0.720017063,-0.341146062,0.665144887,0.096187047,-0.009480062,-0.248303695,-0.154429836,-0.427184363,0.281322744,-0.458110606,-0.955724366,-0.217119485
YFR043C,0.227847694,-0.262809971,-0.044083304,-0.237780818,-0.119876891,-0.144139882,0.058927892,-0.134626793,-0.581104775,-0.526923737,0.056602044,-0.232336029,-0.800007726,-0.17988149,-0.021152451,0.006533962,-0.247149185
YFR044C,0.177332845,-0.146923667,0.15662935,-0.647741272,-0.236730496,0.085339582,0.058010397,-0.595203972,-0.474005206,-0.513364987,0.584516323,0.247032446,-0.349613989,-1.010507462,-0.114519514,-0.217686625,-0.055171089
YFR045W,0.717820208,0.509196686,-0.085697686,0.116034728,0.374564623,-0.574367574,0.265542588,0.361699921,0.415529537,0.658779305,0.314193248,0.072177163,0.031282896,0.005057408,0.49382102,1.046895707,0.815344867
YFR046C,-0.03993184,-0.070688448,0.50281926,0.739364265,-0.106755262,-0.235421184,-0.436964641,-0.208360129,-0.540635001,0.286303103,-0.36547367,-0.399686039,-0.058342644,-0.102594675,-0.670748418,-0.366898513,0.124630237
YFR047C,0.576359186,0.58502368,-0.708812208,0.099823411,-0.575395864,0.633481346,0.080416129,-1.928213496,-1.275903842,0.935307803,-0.049468005,-1.603454036,-0.60072475,-2.264213359,-0.545446011,0.168122494,0.195115803
YFR048W,-0.342804143,0.06920011,0.768574227,-0.156450634,0.473463921,0.073932202,0.738510002,0.812861241,0.273953001,-0.312172028,0.001121125,0.221023563,0.623605586,0.973332186,0.012083141,0.104237803,0.006181837
YFR049W,0.364559869,-0.409510376,0.223828814,0.10760402,-0.120544186,-0.463239581,-0.856414397,-0.448763404,-0.408530893,-0.188861577,-1.37057718,-0.254877564,-0.393283079,-0.360853103,0.041429974,0.682165505,-0.581159345
YFR050C,0.670482006,-0.16035147,1.860744252,0.660518055,2.131117357,3.938726339,1.804523395,1.42648005,3.708736685,1.180487754,0.69239948,0.174087584,1.318478205,2.103472178,-0.312511004,0.060164592,-2.177866424
YFR051C,0.14942767,-0.250697734,-0.109342276,0.968902463,-0.029621329,-0.092538664,1.272367193,-0.255705655,-0.22607996,0.678402497,1.657444455,-0.02634644,1.087879419,0.384507408,-0.203419603,0.268019536,0.20399151
YFR052W,0.701692138,0.24637683,0.507944102,0.097041408,0.397069557,-0.39917896,-0.029560186,1.378741833,1.382012721,0.319786003,-0.392748752,0.237832715,0.584362461,1.136246368,0.801546168,0.829956028,0.788253906
YFR053C,0.363623156,0.609176157,-1.091642694,-0.56466386,-0.270020822,-0.250333647,-0.4749739,-1.91753536,-1.126054713,-0.633708111,-0.38714976,2.681152306,-0.807541684,-1.313976943,0.487442332,0.572619046,-0.361488616
YFR054C,0.18367772,-0.578711797,-0.338325907,0.000537599,-0.032998344,-0.644222416,-0.772992547,-0.369885132,-0.224258899,-0.319748027,-1.093095459,-0.068243626,-0.096765342,-0.769748214,-0.62573755,-0.404986754,-0.299005387
YFR055W,-1.217684618,-0.594412845,1.314997771,-0.391403091,1.165540963,0.05273588,0.146746861,0.40565692,0.688723788,-0.770772176,-0.415219254,-0.814277809,-0.158409225,0.731464898,0.299757384,-0.979434279,0.0086518
YFR056C,0.678422862,0.141924345,-0.083256968,0.172017906,-0.299398212,0.007593816,0.036803767,0.810308402,-0.085267233,0.466047117,-0.281573718,0.550368533,0.172738746,-0.273789056,0.192378969,-0.7827569,0.269984106
YFR057W,-0.298730734,-0.102287971,-0.002177186,-0.043576035,0.169287472,-0.056738857,-0.940534963,-0.10858681,-0.384396958,-0.215571677,-0.783820258,-0.303030986,-0.144620405,-0.27388772,-0.362491294,0.38690537,-0.197602042
YGL001C,1.010437955,-0.122109205,0.132554448,-0.364916728,0.104123524,0.532405644,-0.3130871,0.212700986,-0.006382826,0.421964726,1.078906088,-0.278606476,0.506027742,0.264730677,0.140431391,-0.719611517,0.27483408
YGL002W,1.822679019,-1.024362405,-0.202440241,0.601242959,-0.00274564,0.040779516,-0.490741511,0.204906123,-0.537692807,-0.059523947,-0.741569946,-0.367324616,-0.97712608,-0.018377666,-0.26975864,-2.254225504,-0.088343648
YGL003C,-0.165822447,0.396192298,-0.173204409,0.751591542,-0.260471033,0.075287398,-0.671924029,-0.751412919,-0.499724519,0.810053859,-0.307207094,-0.925485031,-0.54189915,-0.313720582,-0.398175975,0.624035743,0.225860182
YGL004C,0.193706387,-0.62284193,0.002278515,-1.266773087,-0.221387059,0.182016693,0.117289224,0.621339607,0.306150491,0.239700855,0.902966926,-0.276538607,-0.298565021,0.486319958,0.244019706,-1.844145706,0.294294826
YGL005C,0.058808237,-0.081423451,0.331839946,-0.188742387,0.038626903,0.433918635,-0.378063911,-0.49287988,0.321593666,0.147001741,0.733936106,-0.291477821,-0.119242523,-0.005139895,-0.754439564,1.251661701,-0.395147739
YGL006W,0.247557652,4.440073171,0.046179141,0.201856856,-0.850174309,-0.467059864,0.235528284,-0.33486815,-0.61796595,1.306517287,0.194461136,1.300706056,-0.57332889,-0.483026171,0.305232407,0.295586477,0.162410499
YGL007C-A,0.432045188,0.446479349,0.008908445,0.410498757,-0.20824028,0.356374455,-0.380601893,0.681543031,0.063128405,-0.591725284,-0.853807429,0.683190529,-0.219995369,0.930105905,0.575250348,1.441274727,-0.059675077
YGL007W,0.782923965,-0.146577809,4.535804393,0.731898094,0.756778951,0.337834287,2.661166611,2.293719306,0.745401903,1.947732003,0.254460473,1.764793137,0.505961706,1.4768076,1.31679606,0.168142761,0.444188129
YGL010W,1.044929996,-0.82652491,0.569531248,0.28019738,0.309869282,0.150855353,0.497585332,-0.699654201,0.496364007,0.549093865,-0.496525743,-0.034496066,0.254938971,-1.113336305,0.161898521,-1.846232996,-0.190369386
YGL011C,-2.097618947,1.749888339,1.20953979,2.757543458,-0.978843365,-0.056836563,0.437280331,-0.839011596,-1.536619689,0.559523136,-1.823499663,0.10008114,0.804311222,-1.97796511,1.24886859,-0.029241705,1.323628314
YGL012W,1.318280541,2.769417119,0.687823309,0.501238533,1.063227208,0.288517015,2.017189001,0.787442395,0.451722287,0.92544075,2.249799836,-0.085629199,1.287031373,1.066809354,0.646865007,0.941815385,1.613933886
YGL013C,-0.34667987,0.458374193,-1.311296817,0.067546449,-1.951616835,-1.180447559,-1.330847774,-0.752613779,-0.98241439,0.671417376,-0.504450704,-0.101622217,-1.120870832,-1.22408518,-0.647921565,0.325149998,0.051548184
YGL014W,-1.209960617,-0.374296304,-5.270896562,-4.17076973,-6.088697828,1.757641996,0.153560303,0.461047455,-1.582952469,-4.817262026,-0.394481763,1.906182898,-1.704420292,0.245786663,0.064819195,-1.67033531,0.698424861
YGL015C,1.023624221,0.559337861,0.521827324,0.552868551,0.355119417,0.343379494,0.118503539,0.282070112,0.25385415,0.419800177,0.321950941,-0.196742727,0.364676169,0.467686053,0.607241974,0.793810398,0.299508533
YGL016W,0.128399296,0.514786142,-0.341014622,-0.916060283,-0.553072465,1.777292055,-0.005510267,-2.026097971,-1.730588486,0.156459914,-0.025868975,-0.085335377,-1.103903186,-2.290609885,-0.969776287,-0.991422479,0.330866683
YGL017W,-0.017203586,-1.889629271,0.121933097,0.677630976,-0.099908679,-0.918485677,0.561228779,-1.068574304,0.406969377,-0.672584676,-0.958953588,0.288508328,0.778200016,-0.454551825,-2.013928758,0.25499836,-6.406468803
YGL018C,0.632207918,0.205677782,-0.89298182,-0.103904007,-0.714532856,2.370739929,-0.93226499,-1.507530876,-0.532937322,0.520218768,-0.931679877,-0.403951443,0.039218947,-2.173037194,-0.728121786,0.028422815,-0.19149551
YGL019W,-0.591060655,-1.556856204,0.742674057,1.351701042,0.912215665,0.510129254,0.820245181,0.085505728,2.697862988,-1.524581144,0.072890307,0.379675413,1.725539632,0.67340543,-0.330209912,-1.436699296,-6.513578512
YGL020C,-0.114425629,-0.04614409,0.814758243,0.146061934,0.869894967,-1.965122752,0.100456417,1.947306921,0.832924601,-0.040391156,-0.106954686,-0.131667739,0.632787818,1.774408764,0.292418299,-1.187329679,-0.201601688
YGL021W,0.449763303,-0.138476934,0.184200517,0.615225574,-0.22185677,0.444864751,0.216179283,-0.008251053,0.193277225,0.023116292,0.794097611,0.073076204,0.081208521,-0.143275736,0.22432154,-0.187216956,0.108779845
YGL023C,-0.684880211,-0.800637263,-4.215596813,-0.061251731,-4.845432053,0.761400283,0.32869901,-0.245915901,-3.53784888,-3.523913226,-0.632605538,0.392388706,-1.961382739,-0.639796625,-0.360228301,-0.704407619,0.022161823
YGL025C,-0.061704801,-0.264549215,0.631000304,1.939072545,1.886742769,0.416033793,0.637036038,-0.111975149,1.0687424,-1.796861188,0.051000924,0.667871712,1.344980484,0.023361308,-0.724440584,-1.997687282,-1.81446802
YGL026C,-0.305444197,0.736639374,-1.352878519,-0.192507609,0.722181997,-0.046672158,0.635285358,-0.073230463,-0.294787572,-0.944402689,0.498885051,0.25935652,0.468035998,0.214262102,0.071582899,-0.120411831,-0.498570661
YGL027C,-1.26011564,0.055385814,-0.375332056,0.516954096,-0.371760068,-2.260705577,-0.191904728,-0.918462978,-1.09745463,-0.305387056,-0.230871779,-0.209379281,-2.171538366,-1.585708126,-1.309637642,-2.094209401,-1.043208573
YGL028C,1.38929091,0.735795127,0.776913954,-0.47643786,0.767017333,0.492009635,0.387145231,0.468161429,0.535764466,-0.899350346,0.183738128,0.426852589,-0.082187937,-0.228303799,0.617956892,0.388466378,0.278766889
YGL029W,-0.378661992,0.311813807,0.375355155,0.361387756,-0.062695303,-1.190566554,0.098468835,0.151140687,0.444670591,1.102894116,-0.254685774,-0.29452595,-1.379332169,0.179728817,0.198462557,-0.423356592,0.064200822
YGL030W,0.464963073,0.370870686,-0.059932852,-0.73922604,-0.501246648,-0.295995485,-1.66074538,-0.204128975,-0.904832583,0.368166212,-0.87073961,-0.165136134,-0.684587381,-0.361437769,-0.029315993,-0.006338699,-0.147699165
YGL031C,-0.113085498,-1.161882834,0.261089269,-0.425018266,0.628380891,1.096742791,0.293847176,-0.412903902,1.946076529,-1.085133377,0.107993826,-0.357219568,0.563395658,-0.050716496,-0.577742022,-1.027147329,-2.264875265
YGL032C,-0.134130349,-0.439030154,-0.402966996,-0.69698928,-0.246962974,-0.31008334,-0.415431156,-0.872809817,-0.367576905,0.270183375,-0.456367063,-1.652965548,-0.349978518,-0.766468785,-0.748926708,-0.17297727,-0.518336097
YGL033W,0.792249765,-0.023390742,0.389431668,0.622230215,0.159243561,-0.419151393,0.713715559,0.374337623,0.634032936,1.08447391,0.237354447,-0.112078431,0.250824214,0.023173876,0.348914803,-2.123469616,0.032165818
YGL034C,-0.099359475,0.473174288,-0.623918229,-0.578609884,0.159927059,-0.091052159,0.344645347,-0.381524782,-0.126487935,-0.066719128,-0.007185845,-0.080969736,-0.113527125,0.183963133,0.022164202,0.041050392,0.047233115
YGL035C,0.238762443,0.242052398,0.437807218,0.359977054,0.17325613,0.842965311,0.91292261,1.176449302,0.01866918,0.126775142,0.830531604,0.892178778,0.200601777,0.970136062,1.348368191,-1.306347099,1.097695791
YGL036W,-0.725750853,0.132600056,0.279800252,-1.520221567,0.461242977,-0.131057909,0.763865053,-0.121624645,-0.35371911,0.137838151,0.2587997,0.092373872,-0.487873141,-0.776161523,-0.304965057,-0.777875116,-0.037455083
YGL037C,-0.590402968,-0.738404103,-0.06917045,-0.099103638,-0.473551301,-0.859323026,0.194621009,-0.602586179,-0.63649188,-0.494158879,-0.295852241,-0.001360314,-0.347153691,-0.758267418,-0.45089243,-0.057193003,-0.618051847
