ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YJR036C,-0.253486474,-0.004061974,-0.077597952,-0.406970395,-0.860316392,0.369809917,-0.230105254,0.084690867,-0.039968246,-1.104364212,-0.292594323,-0.03854772,-0.893954014,-0.692608561
YJR037W,-0.337364333,-0.143664433,0.617408741,-0.164403881,-0.655347412,1.121514323,0.424036103,0.722974093,1.108718847,-0.016944973,0.576099899,0.673461065,-0.095349349,-0.426661522
YJR038C,0.241665863,0.022424461,0.090597321,0.145310874,-0.131917948,0.14124066,0.394757704,0.285190493,0.562078266,0.65157979,-0.044640007,0.47238161,0.442527362,-0.370710661
YJR039W,1.990917443,1.805345349,-0.418457303,-0.441465984,-0.008865588,-0.350701608,0.109408771,1.778045152,1.513074477,-7.858261894,0.932558308,0.366973242,0.153910645,-0.467640426
YJR040W,1.410985716,1.335392275,0.646383871,0.276676129,-0.696941419,-0.204262616,-0.064842499,2.683782457,-1.878834011,0.873961911,1.212812041,0.032639972,0.237756774,0.272430181
YJR043C,-0.233753897,-1.238393718,-1.845439492,-0.233551151,2.887684413,0.370214557,0.24260757,0.495869274,0.941568004,-0.92718256,1.684774843,-0.67309779,-0.756293743,-0.184479117
YJR044C,-0.151211017,0.231292497,-0.078532591,0.955141366,-0.260204139,-0.455787177,-0.040018306,1.100567586,0.208067361,1.567399684,-0.27930853,0.008096151,0.04941502,0.095127097
YJR047C,2.09625302,-0.004856516,0.68980641,-0.347114502,0.161866599,-0.469957113,0.556482759,-0.157519906,0.135413746,0.389848284,0.713110976,0.513741724,0.199275933,0.509039212
YJR048W,-0.258910469,0.510109633,0.671343051,0.132021168,-0.968816505,-1.081356857,-0.117645199,-1.801302497,-1.119399543,0.831591058,0.086723294,-0.029893713,-0.670595954,-0.012713684
YJR049C,-0.391768196,-1.322021091,-0.440398539,0.228807492,0.153750852,0.057417075,-0.214132746,0.594270541,-1.690587863,1.227360408,0.246542049,-0.131542058,3.297657016,-0.090242809
YJR050W,-0.185740081,-1.591631954,-0.613971456,0.060673289,-0.977140448,-0.450672303,0.289631236,0.702068797,-2.026819025,1.330476577,-0.108219568,-0.206302807,3.443758462,-0.316942161
YJR051W,-0.370573443,0.040373947,0.310178108,-0.573177536,-0.676291907,-0.182287812,0.402471026,-0.832901967,-0.398691214,0.003618678,0.038450612,-0.115020624,-1.073253528,-0.199429453
YJR052W,-0.282231411,-0.047973278,0.012904892,-0.289027094,-0.257309289,0.257692205,-0.41645584,0.162387485,0.269161764,-0.628116997,-0.36143175,-0.103990941,-0.926049914,-0.627327849
YJR053W,-0.018025257,0.533408552,0.530306299,0.188034212,-0.013535588,0.379515038,0.143981726,9.98E-05,0.162471261,-0.411942435,0.108172392,0.563208147,-0.358451367,-0.100002091
YJR054W,-0.443006632,-1.289321163,-0.356147764,0.489658333,-0.453811275,1.415932842,-0.099975603,0.669379721,1.050829816,0.802310816,-0.242722569,0.998392522,0.640508877,0.014175367
YJR055W,-0.187882767,-0.987267725,-0.423880777,0.089614413,-0.242838153,-0.204005958,0.086446262,-0.578410714,-0.059135722,-0.007038823,-0.400673826,-0.424604578,0.136589266,0.587200927
YJR056C,1.25796022,-1.056770885,-0.29753629,0.721575433,0.574417026,0.510784556,0.685969003,1.337805425,-0.495903747,2.60015092,0.035952359,1.062323157,7.911942354,0.644476823
YJR058C,1.090367044,2.990212234,1.321688594,0.887632261,1.468668327,-0.163961451,0.474882674,2.01973368,2.547445141,-2.843409349,1.121325089,1.157388665,0.774493173,0.63822892
