"ORF","term"
"YEL039C","unspecific"
"YER010C","unspecific"
"YER019W","unspecific"
"YER020W","unspecific"
"YER028C","unspecific"
"YER051W","unspecific"
"YER062C","unspecific"
"YER065C","unspecific"
"YER068W","unspecific"
"YER089C","unspecific"
"YER090W","unspecific"
"YER116C","unspecific"
"YER122C","unspecific"
"YER130C","unspecific"
"YER133W","unspecific"
"YER134C","unspecific"
"YER138C","unspecific"
"YER139C","unspecific"
"YER160C","unspecific"
"YER169W","unspecific"
"YFL002W-A","unspecific"
"YFL016C","unspecific"
"YFL044C","unspecific"
"YFR004W","unspecific"
"YFR019W","unspecific"
"YFR027W","unspecific"
"YFR044C","unspecific"
"YGL008C","unspecific"
"YGL023C","unspecific"
"YGL035C","unspecific"
"YGL037C","unspecific"
"YGL055W","unspecific"
"YGL062W","unspecific"
"YGL067W","unspecific"
"YGL071W","unspecific"
"YGL085W","unspecific"
"YGL094C","unspecific"
"YGL122C","unspecific"
"YGL131C","unspecific"
"YGL155W","unspecific"
"YGL156W","unspecific"
"YGL181W","unspecific"
"YGL209W","unspecific"
"YGL234W","unspecific"
"YGL243W","unspecific"
"YGL246C","unspecific"
"YGL251C","unspecific"
"YGL254W","unspecific"
"YGL256W","unspecific"
"YGR027W-B","unspecific"
"YGR038C-B","unspecific"
"YGR044C","unspecific"
"YGR061C","unspecific"
"YGR067C","unspecific"
"YGR071C","unspecific"
"YGR088W","unspecific"
"YGR123C","unspecific"
"YGR161C-D","unspecific"
"YGR161W-B","unspecific"
"YGR181W","unspecific"
"YGR208W","unspecific"
"YGR234W","unspecific"
"YGR240C","unspecific"
"YGR244C","unspecific"
"YGR246C","unspecific"
"YGR258C","unspecific"
"YHL009W-B","unspecific"
"YHL010C","unspecific"
"YHL021C","unspecific"
"YHL022C","unspecific"
"YHL027W","unspecific"
"YHR005C","unspecific"
"YHR005C-A","unspecific"
"YHR006W","unspecific"
"YHR008C","unspecific"
"YHR021C","unspecific"
"YHR040W","unspecific"
"YHR043C","unspecific"
"YHR044C","unspecific"
"YHR046C","unspecific"
"YHR050W","unspecific"
"YHR051W","unspecific"
"YHR076W","unspecific"
"YHR079C","unspecific"
"YHR090C","unspecific"
"YHR111W","unspecific"
"YHR115C","unspecific"
"YHR134W","unspecific"
"YHR144C","unspecific"
"YHR192W","unspecific"
"YHR201C","unspecific"
"YHR214C-B","unspecific"
"YHR216W","unspecific"
"YIL021W","unspecific"
"YIL044C","unspecific"
"YIL053W","unspecific"
"YIL072W","unspecific"
"YIL106W","unspecific"
"YIL108W","unspecific"
"YIL147C","unspecific"
"YIL150C","unspecific"
"YIR008C","unspecific"
"YIR015W","unspecific"
"YJL025W","unspecific"
"YJL026W","unspecific"
"YJL100W","unspecific"
"YJL105W","unspecific"
"YJL113W","unspecific"
"YJL121C","unspecific"
"YJL130C","unspecific"
"YJL157C","unspecific"
"YJL167W","unspecific"
"YJL172W","unspecific"
"YJL187C","unspecific"
"YJL208C","unspecific"
"YJL210W","unspecific"
"YJR024C","unspecific"
"YJR027W","unspecific"
"YJR029W","unspecific"
"YJR048W","unspecific"
"YJR055W","unspecific"
"YJR069C","unspecific"
"YJR070C","unspecific"
"YJR078W","unspecific"
"YJR089W","unspecific"
"YJR094W-A","unspecific"
"YJR109C","unspecific"
"YJR117W","unspecific"
"YJR119C","unspecific"
"YJR126C","unspecific"
"YJR135W-A","unspecific"
"YKL005C","unspecific"
"YKL011C","unspecific"
"YKL025C","unspecific"
"YKL028W","unspecific"
"YKL029C","unspecific"
"YKL034W","unspecific"
"YKL035W","unspecific"
"YKL048C","unspecific"
"YKL062W","unspecific"
"YKL067W","unspecific"
"YKL087C","unspecific"
"YKL113C","unspecific"
"YKL132C","unspecific"
"YKL134C","unspecific"
"YKL141W","unspecific"
"YKL156W","unspecific"
"YKL160W","unspecific"
"YKL220C","unspecific"
"YKR002W","unspecific"
"YKR017C","unspecific"
"YKR029C","unspecific"
"YKR038C","unspecific"
"YKR066C","unspecific"
"YKR079C","unspecific"
"YKR087C","unspecific"
"YKR090W","unspecific"
"YLL029W","unspecific"
"YLL051C","unspecific"
"YLL057C","unspecific"
"YLR007W","unspecific"
"YLR034C","unspecific"
"YLR035C-A","unspecific"
"YLR080W","unspecific"
"YLR090W","unspecific"
"YLR131C","unspecific"
"YLR136C","unspecific"
"YLR148W","unspecific"
"YLR157C-B","unspecific"
"YLR164W","unspecific"
"YLR167W","unspecific"
"YLR180W","unspecific"
"YLR185W","unspecific"
"YLR205C","unspecific"
"YLR214W","unspecific"
"YLR227W-B","unspecific"
"YLR244C","unspecific"
"YLR247C","unspecific"
"YLR277C","unspecific"
"YLR318W","unspecific"
"YLR323C","unspecific"
"YLR355C","unspecific"
"YLR373C","unspecific"
"YLR375W","unspecific"
"YLR377C","unspecific"
"YLR387C","unspecific"
"YLR389C","unspecific"
"YLR401C","unspecific"
"YLR403W","unspecific"
"YLR410W-B","unspecific"
"YLR417W","unspecific"
"YLR420W","unspecific"
"YLR427W","unspecific"
"YLR432W","unspecific"
"YLR433C","unspecific"
"YML004C","unspecific"
"YML016C","unspecific"
"YML022W","unspecific"
"YML035C","unspecific"
"YML039W","unspecific"
"YML041C","unspecific"
"YML045W","unspecific"
"YML054C","unspecific"
"YML056C","unspecific"
"YML057W","unspecific"
"YML068W","unspecific"
"YML072C","unspecific"
"YML081W","unspecific"
"YMR009W","unspecific"
"YMR037C","unspecific"
"YMR045C","unspecific"
"YMR050C","unspecific"
"YMR070W","unspecific"
"YMR073C","unspecific"
"YMR075W","unspecific"
"YMR100W","unspecific"
"YMR113W","unspecific"
"YMR118C","unspecific"
"YMR119W","unspecific"
"YMR127C","unspecific"
"YMR137C","unspecific"
"YMR176W","unspecific"
"YMR182C","unspecific"
"YMR205C","unspecific"
"YMR207C","unspecific"
