"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Mn 50","Mn",50.166,"Ca",646.956010803167,747.132478041544,0.865918735722787
"Mn 50","Mn",50.166,"Ca",647.878404545435,747.132478041544,0.867153314287336
"Cu 10","Cu",11.197,"Ca",845.841210729463,747.132478041544,1.13211677391761
"Zn 0.01","Zn",0.049,"Ca",1167.75374127908,747.132478041544,1.56298083084289
"Na 0.2","Na",0.182,"Ca",692.773335086299,747.132478041544,0.927242966203616
"Mo 0.02","Mo",0.021,"Ca",617.473951875226,747.132478041544,0.826458452848695
"Mo 0.2","Mo",0.239,"Ca",609.341084530485,747.132478041544,0.81557301072997
"Zn 20","Zn",22.071,"Ca",730.540092124466,747.132478041544,0.977791909193171
"Fe 0.1","Fe",0.215,"Ca",629.71161052655,747.132478041544,0.84283795582975
"Zn 0.2","Zn",0.213,"Ca",917.657534296669,747.132478041544,1.22823938359917
"Na 20","Na",16.842,"Ca",607.091751207776,747.132478041544,0.812562388934213
"Zn 10","Zn",11.246,"Ca",687.028532152374,747.132478041544,0.919553830604821
"Mo 0.1","Mo",0.12,"Ca",621.946451215629,747.132478041544,0.83244467279208
"Ca 0.5","Ca",0.53,"Ca",578.65064744623,747.132478041544,0.774495373247653
"Na 2","Na",1.882,"Ca",808.850833489375,747.132478041544,1.08260697702449
"Mn 0.05","Mn",0.062,"Ca",611.184379383942,747.132478041544,0.81804017004593
"Ca 0","Ca",0.002,"Ca",43.3854769112836,747.132478041544,0.0580693226253661
"Zn 0.2","Zn",0.213,"Ca",934.582310241583,747.132478041544,1.25089236207667
"Fe 0.01","Fe",0.124,"Ca",641.91706876675,747.132478041544,0.859174360147487
"Na 2","Na",1.882,"Ca",652.536622191039,747.132478041544,0.873388109029246
"Zn 2","Zn",2.421,"Fe",58.1336353510183,55.1736462622607,1.05364860380421
"Mg 5","Mg",4.514,"Fe",65.3797906203795,55.1736462622607,1.18498223426462
"Mo 0.5","Mo",0.544,"Fe",45.9276347772737,55.1736462622607,0.832419785325819
"Na 2","Na",1.882,"Fe",77.5087891819078,55.1736462622607,1.40481542244788
"K 2","K",2.102,"Fe",57.8176294177344,55.1736462622607,1.04792112420676
"Mn 0.01","Mn",0.035,"Fe",52.3921232665291,55.1736462622607,0.94958602187519
"Na 20","Na",16.842,"Fe",75.694178350087,55.1736462622607,1.37192633581411
"Fe 10","Fe",9.185,"Fe",61.8987810298092,55.1736462622607,1.12189034481393
"Ca 0.01","Ca",0.012,"Fe",54.24287294808,55.1736462622607,0.983130110528559
"Zn 10","Zn",11.246,"Fe",49.9250647287081,55.1736462622607,0.904871584730794
"Zn 0.05","Zn",0.075,"Fe",96.373409666497,55.1736462622607,1.74672903089273
"Na 0.01","Na",0.02,"Fe",59.4750884496321,55.1736462622607,1.07796189809397
"Zn 20","Zn",22.071,"Fe",63.0704274343155,55.1736462622607,1.1431259615237
"Mn 50","Mn",50.166,"Fe",44.0499102970212,55.1736462622607,0.79838678936744
"Mn 100","Mn",99.502,"Fe",52.7644255872702,55.1736462622607,0.956333850702225
"Cu 0.2","Cu",0.237,"Fe",62.7976193414159,55.1736462622607,1.13818142529344
"Cu 0.05","Cu",0.074,"Fe",65.2471042230837,55.1736462622607,1.18257734703521
"Cu 2","Cu",2.269,"Fe",42.8246251157233,55.1736462622607,0.776178991545385
"Fe 0.05","Fe",0.195,"Fe",17.5888780828791,55.1736462622607,0.318791293931756
"Ca 0.2","Ca",0.223,"Fe",66.1584440125978,55.1736462622607,1.19909501174025
"Cu 5","Cu",5.662,"Fe",46.3973009808934,55.1736462622607,0.840932295109695
"Na 0.5","Na",0.439,"Fe",57.6682245568533,55.1736462622607,1.04521322159378
"Cu 10","Cu",11.197,"Fe",47.9085364296007,55.1736462622607,0.868322825754051
"Cu 0.01","Cu",0.022,"Fe",59.4011901604352,55.1736462622607,1.07662252152195
"Fe 0.05","Fe",0.195,"Fe",18.9976959482445,55.1736462622607,0.344325547344495
"Mg 0.05","Mg",0.045,"Fe",61.2770332976831,55.1736462622607,1.11062141890008
"Zn 2","Zn",2.421,"Fe",85.5550394756202,55.1736462622607,1.55065045128512
"Zn 0.02","Zn",0.049,"Fe",127.044522606078,55.1736462622607,2.30263053491495
"Cu 20","Cu",22.122,"Fe",40.6079952492862,55.1736462622607,0.736003472677179
"Zn 5","Zn",6.002,"Fe",54.15720977582,55.1736462622607,0.981577500214338
"Ca 0.05","Ca",0.058,"Fe",60.8486228456096,55.1736462622607,1.1028566529095
"Fe 0.2","Fe",0.317,"Fe",24.1903062653462,55.1736462622607,0.438439506976949
"Mn 0","Mn",0.007,"Fe",53.9925889866788,55.1736462622607,0.978593815062214
"Mo 0.05","Mo",0.062,"Fe",47.7753566935457,55.1736462622607,0.865908996959378
"Mo 0","Mo",0.044,"Fe",50.1348258614781,55.1736462622607,0.908673420334932
"Na 10","Na",8.783,"Fe",59.5179721168263,55.1736462622607,1.07873914719929
"Cu 0.02","Cu",0.035,"Fe",61.0415481863538,55.1736462622607,1.10635334659958
"Ca 5","Ca",5.658,"Fe",52.9221120850704,55.1736462622607,0.959191854631322
"Cu 0.1","Cu",0.125,"Fe",66.0776370924387,55.1736462622607,1.19763041902917
"Ca 0","Ca",0.002,"Fe",68.5714476733723,55.1736462622607,1.24282972612372
"Cu 10","Cu",11.197,"Fe",45.5518853748513,55.1736462622607,0.825609479538952
"Cu 2","Cu",2.269,"Fe",45.856567073771,55.1736462622607,0.831131711973462
"K 10","K",9.698,"Fe",97.7960123941611,55.1736462622607,1.77251312935347
"Ca 0.5","Ca",0.53,"Fe",68.7153657922959,55.1736462622607,1.24543818376017
"Fe 2","Fe",2.348,"Fe",47.0606743413831,55.1736462622607,0.8529556686844
"Fe 20","Fe",23.594,"Fe",70.5766118293387,55.1736462622607,1.2791725146071
"Mn 0.2","Mn",0.223,"Fe",45.4300695929542,55.1736462622607,0.823401617812393
"Mo 0.01","Mo",0.046,"Fe",50.3673470570033,55.1736462622607,0.912887772861497
"Mg 0.05","Mg",0.045,"Fe",64.490477393999,55.1736462622607,1.16886379209835
"Cu 0.5","Cu",0.582,"Fe",71.3949430022894,55.1736462622607,1.29400443579391
"Na 0.02","Na",0.041,"Fe",79.5331312999961,55.1736462622607,1.44150580373002
