"","ORF","term"
"797","YPR022C","unspecific"
"798","YPR024W","unspecific"
"799","YPR031W","unspecific"
"800","YPR043W","unspecific"
"801","YPR056W","unspecific"
"802","YPR062W","unspecific"
"803","YPR067W","unspecific"
"804","YPR074C","unspecific"
"805","YPR086W","unspecific"
"806","YPR093C","unspecific"
"807","YPR107C","unspecific"
"808","YPR122W","unspecific"
"809","YPR137C-B","unspecific"
"810","YPR158C-D","unspecific"
"811","YPR158W-B","unspecific"
"812","YPR176C","unspecific"
"813","YPR181C","unspecific"
"814","YPR186C","unspecific"
"815","YPR188C","unspecific"
"816","YPR191W","unspecific"
"817","YPR196W","unspecific"
"818","YKL195W","unspecific"
"819","YPR002W","unspecific"
