Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
I,YDR040C,ENA1,1.71034,6.05857E-06,1.45527,0.00029,1.28126,0.009,2.84485,3.43292E-13,1.46376,0.00087,1.46715,5.29137E-06,2.00772,2.1854E-07,1.78285,1.49393E-07,1.00885,0.92163,1.35256,0.01865,1.55571,0.00008,1.74465,0.000003672,1.52218,0.00061,1.59787,0.00085
I,YGL156W,AMS1,1.35219,2.06653E-12,1.43731,6.21769E-15,1.8285,0,7.12536,0,1.17341,0.06117,1.40819,1.12253E-14,2.44219,0,2.95754,0,2.77544,0,4.62822,0,-1.03824,0.67767,2.06746,4.8315E-35,1.4906,0.00004,1.52794,5.46434E-08
I,YMR084W,YMR084W,2.31956,7.82945E-12,2.03688,4.28616E-13,1.42623,9.5218E-06,1.64873,1.3315E-17,1.54582,0.00004,1.47041,1.1777E-12,1.11254,0.29837,1.36812,0.00123,1.18691,0.1903,1.58688,0.00029,1.02843,0.84538,1.71698,9.7983E-11,1.71725,0.00042,2.15804,2.26897E-07
II,YCL027C-A,YCL027C-A,-1.16678,0.04504,-1.15577,0.00082,21.37758,0,48.51508,0,-1.1629,0.00011,1.75076,8.26766E-44,-1.28131,4.0509E-07,1.17268,0.01259,1.23885,8.08734E-10,4.24143,0,-1.47423,2.29314E-14,1.72845,1.14239E-16,-1.17614,0.00091,1.21494,0.00089
II,YML131W,YML131W,-1.74496,0,-1.91119,0,18.78931,0,48.76387,0,-1.74921,0,-1.16843,3.67997E-07,-1.4589,0,1.05417,0.06584,-1.19647,2.56635E-18,1.96871,1.93795E-12,-1.37221,2.02352E-16,2.15139,0,-1.42358,2.67999E-31,-1.00335,0.92704
II,YLR092W,SUL2,1.43459,7.9376E-07,1.31469,2.37364E-23,27.72824,0,49.82996,0,1.62964,4.21258E-11,3.84454,0,3.10422,0,3.43689,0,3.92595,0,11.58345,0,1.12285,0.00046,2.5652,0,1.27049,0.00029,1.46641,1.83508E-06
II,YJR010W,MET3,1.06968,0.26754,1.068,0.05061,33.21441,0,45.53038,0,1.2639,1.87277E-06,8.09517,0,2.30564,0,2.1236,6.78482E-36,4.81514,0,8.40258,0,-1.4252,3.72686E-09,1.49092,2.1729E-13,-1.38484,2.96908E-08,-1.50572,8.088E-21
II,YNL134C,YNL134C,1.02147,0.32947,-1.15384,0.00001,20.2688,0,29.09334,0,-1.33991,1.53229E-34,1.2574,2.51085E-11,1.47797,1.02104E-38,2.76222,0,2.04229,0,4.92641,0,1.09624,0.00913,4.84884,0,1.18289,2.51256E-09,1.67362,4.91505E-41
II,YKR076W,ECM4,-1.45817,5.04236E-12,-1.47815,0,11.19822,0,33.02435,0,-1.73433,0,-1.49638,4.34963E-42,-1.11223,0.01829,1.26052,6.06582E-09,1.7367,2.66247E-44,2.82494,0,-1.75006,2.22689E-27,1.49178,2.21262E-10,-1.50755,2.43816E-19,-1.33873,1.72896E-10
II,YOL151W,GRE2,1.24018,1.78948E-23,1.31526,9.44647E-11,25.23325,0,44.73774,0,1.39293,9.78638E-28,2.58882,0,1.48592,2.25811E-32,2.21611,0,1.24541,1.39003E-12,3.16481,0,2.16952,0,4.65934,0,1.48392,0,2.21795,0
II,YNL277W,MET2,2.56521,3.15758E-22,1.82726,3.68467E-17,10.67476,0,15.61547,0,2.24739,4.33092E-28,1.84461,1.20566E-20,4.32988,0,3.79961,0,4.37901,0,5.66899,0,1.51892,3.87257E-09,1.5446,3.27433E-07,1.33887,0.00001,1.14652,0.02461
II,YAL012W,CYI1,1.61303,2.04283E-12,1.58451,1.15676E-11,5.52158,0,11.88822,0,1.62256,5.16745E-31,2.10648,5.2687E-29,1.46101,9.94144E-07,1.50352,1.28464E-14,1.8415,1.33693E-12,2.49771,5.90381E-33,1.52089,6.23544E-12,1.66514,7.42431E-36,1.4053,8.33307E-10,1.45599,5.99672E-12
II,YDR533C,HSP31,1.28404,7.58105E-08,1.17127,0.00388,10.26925,0,18.24873,0,1.05606,0.203,1.66892,2.03736E-13,-1.04888,0.45783,1.34416,2.17074E-16,2.91793,0,5.82009,0,1.5566,1.67189E-24,3.40577,0,1.6416,0,2.22794,0
II,YKR069W,MET1,2.02803,3.69786E-28,1.87626,0,16.68274,0,18.51373,0,1.78373,3.46014E-14,2.42939,0,4.21883,0,3.47961,2.08527E-41,4.20086,0,6.12277,0,1.26243,1.16801E-30,1.7515,4.01296E-22,1.46116,4.475E-12,1.27971,0.00001
II,YGR055W,MUP1,1.94284,2.71623E-35,1.76203,2.48662E-36,7.05005,0,15.07634,0,2.50462,0,1.3999,4.99337E-14,3.58109,0,3.07104,0,4.66138,0,5.30718,0,2.09734,0,2.32436,0,1.59242,3.11201E-15,1.74072,1.30736E-08
II,YER103W,SSA4,1.91771,0,1.2784,2.25467E-10,10.29725,0,10.37608,0,-1.11109,0.00007,-1.09072,0.00323,-1.03,0.48005,1.4239,2.88013E-19,6.00791,0,13.89795,0,-1.18508,0.00008,1.19367,7.01589E-07,2.21016,0,1.6953,1.76274E-25
II,YIL046W,MET30,1.6882,2.88794E-41,1.63491,4.86251E-43,4.68638,0,12.62693,0,1.53155,0,1.53197,0,1.9954,0,1.81464,0,1.74049,0,2.49465,0,1.61869,9.8231E-43,1.70704,4.32795E-24,1.59456,1.24621E-24,1.94031,0
II,YIL168W,SDL1,1.14922,0.22133,-1.31985,0.07042,11.69536,0,20.5596,0,-1.24085,0.36926,-1.21763,0.16761,-1.28235,0.07572,-1.22859,0.11375,-1.89723,8.02966E-15,-1.13566,0.37696,-1.26302,0.03883,1.41402,0.00722,1.0431,0.79486,1.68202,0.00011
II,YHL036W,MUP3,1.32341,1.45124E-16,1.28518,5.29289E-08,8.83835,0,16.50106,0,2.45944,0,1.21028,6.49141E-11,2.97006,0,2.04707,0,3.21692,0,4.58278,0,2.13139,0,1.92548,0,2.14224,0,1.9408,1.4013E-45
II,YML116W,ATR1,1.92956,8.12099E-30,1.78799,1.41733E-18,15.91603,0,15.84192,0,2.14895,0,1.97611,0,2.33665,0,1.33515,1.34653E-11,2.03507,0,1.8712,0,2.723,0,4.56537,0,1.76623,4.1217E-34,1.9458,0
II,YOR338W,YOR338W,1.83291,0.00003,2.41842,8.64588E-25,4.47813,0,18.66693,0,2.01384,1.25816E-06,4.04296,1.22066E-37,3.90423,1.79658E-36,3.53357,0,1.78195,3.30891E-11,1.86023,2.58557E-07,1.35838,1.63996E-07,1.68043,2.16219E-14,1.3548,6.72674E-08,2.1767,5.60519E-45
II,YBR054W,YRO2,4.47164,0,3.27638,4.68379E-31,15.53295,0,21.8911,0,5.37034,0,5.53141,0,6.7307,0,7.44843,0,11.05623,0,10.5331,0,5.34826,5.67617E-39,7.11053,0,4.91924,0,5.92425,0
II,YJR137C,ECM17,1.07249,0.14226,-1.04612,0.36062,15.90709,0,20.50908,0,1.46492,8.40628E-13,6.08739,0,2.02997,0,1.60534,2.90269E-19,3.35691,0,6.18165,0,1.07724,0.04147,2.10383,0,-1.21552,8.54568E-06,-1.22163,0.00061
