"ORF","Significant"
"YDR221W",TRUE
"YML121W",TRUE
"YGR163W",FALSE
"YGL181W",TRUE
"YIR038C",TRUE
"YMR217W",TRUE
"YDR454C",TRUE
"YGL084C",TRUE
"YGL245W",TRUE
"YIL155C",TRUE
"YIL041W",FALSE
"YJL165C",FALSE
"YJR069C",TRUE
"YMR290C",TRUE
"YPL001W",TRUE
"YEL056W",FALSE
"YCL026C-B",TRUE
"YKR084C",FALSE
"YDL223C",TRUE
"YNL281W",FALSE
"YLR192C",TRUE
"YNL021W",TRUE
"YNL014W",TRUE
"YDR458C",TRUE
"YBL032W",TRUE
"YDR232W",TRUE
"YDR047W",FALSE
"YDR044W",FALSE
"YER014W",TRUE
"YOR176W",TRUE
"YGL040C",TRUE
"YDL205C",TRUE
"YOR278W",FALSE
"YOR227W",TRUE
"YMR207C",FALSE
"YMR110C",TRUE
"YGR187C",TRUE
"YBR009C",TRUE
"YPL127C",TRUE
"YBR010W",TRUE
"YER055C",TRUE
"YOR202W",TRUE
"YCL030C",TRUE
"YIL116W",TRUE
"YBR248C",TRUE
"YER057C",TRUE
"YML075C",TRUE
"YLR450W",FALSE
"YDR174W",FALSE
"YBR034C",FALSE
"YGL077C",FALSE
"YDL125C",TRUE
"YJR075W",FALSE
"YLR113W",TRUE
"YDR158W",TRUE
"YER052C",TRUE
"YJR139C",FALSE
"YPL116W",FALSE
"YEL066W",TRUE
"YDR399W",TRUE
"YNL004W",FALSE
"YLR301W",TRUE
"YOR267C",TRUE
"YOL123W",TRUE
"YPL204W",TRUE
"YOL133W",FALSE
"YMR186W",TRUE
"YHL002W",FALSE
"YGL073W",FALSE
"YMR288W",TRUE
"YBR133C",FALSE
"YBR272C",FALSE
"YOR020C",TRUE
"YLL026W",TRUE
"YFL014W",TRUE
"YJL159W",TRUE
"YBR072W",TRUE
"YCR021C",TRUE
"YDR533C",TRUE
"YDR171W",TRUE
"YLR259C",FALSE
"YDR258C",TRUE
"YPL240C",TRUE
"YDR224C",FALSE
"YBL002W",TRUE
"YPR033C",TRUE
"YOL012C",TRUE
"YGR268C",FALSE
"YFR053C",TRUE
"YGL253W",TRUE
"YDR345C",TRUE
"YHR092C",TRUE
"YHR096C",TRUE
"YDR343C",FALSE
"YDR342C",FALSE
"YEL034W",FALSE
"YIR037W",TRUE
"YOR126C",FALSE
"YIL090W",FALSE
"YNL037C",TRUE
"YOR136W",FALSE
"YPL117C",TRUE
"YDL066W",TRUE
"YNL215W",FALSE
"YOR189W",TRUE
"YBR159W",FALSE
"YFR017C",FALSE
"YNL157W",TRUE
"YHR132W-A",FALSE
"YLR384C",FALSE
"YBL076C",TRUE
"YER086W",TRUE
"YMR108W",TRUE
"YJR016C",TRUE
"YLR355C",TRUE
"YCL009C",TRUE
"YHR216W",TRUE
"YLR432W",TRUE
"YML056C",TRUE
"YCR046C",TRUE
"YLR309C",FALSE
"YJR138W",TRUE
"YJL082W",TRUE
"YHR148W",FALSE
"YDL181W",TRUE
"YHR046C",TRUE
"YJL153C",TRUE
"YGL150C",TRUE
"YOR109W",FALSE
"YLR095C",FALSE
"YMR044W",TRUE
"YNL182C",TRUE
"YBR011C",FALSE
"YPL242C",TRUE
"YBR140C",TRUE
"YPL017C",FALSE
"YIR036C",TRUE
"YER019W",FALSE
"YER048W-A",TRUE
"YOR155C",TRUE
"YNL265C",TRUE
"YBR086C",TRUE
"YBR245C",FALSE
"YOR304W",FALSE
"YGL133W",TRUE
"YDR497C",TRUE
"YDR229W",TRUE
"YKL032C",FALSE
"YDR475C",TRUE
"YLL057C",TRUE
"YJR091C",FALSE
"YKR038C",FALSE
"YBR017C",FALSE
"YPL125W",FALSE
"YER110C",TRUE
"YLR347C",TRUE
"YJL034W",TRUE
"YDR017C",FALSE
"YHR158C",FALSE
"YPL263C",FALSE
"YPL145C",FALSE
"YGL203C",TRUE
"YIL125W",TRUE
"YDR148C",TRUE
"YDR122W",TRUE
"YDL108W",FALSE
"YHR186C",TRUE
"YDR483W",TRUE
"YNL132W",TRUE
"YOR336W",FALSE
"YPR159W",FALSE
"YNL308C",TRUE
"YCL059C",TRUE
"YDR037W",TRUE
"YHR082C",TRUE
"YKL110C",TRUE
"YOR099W",TRUE
"YBR205W",FALSE
"YBR199W",TRUE
"YJL207C",FALSE
"YKL008C",TRUE
"YHL003C",TRUE
"YOL025W",FALSE
"YLR072W",FALSE
"YNL045W",TRUE
"YNL239W",TRUE
"YOR181W",TRUE
"YNL071W",TRUE
"YMR296C",TRUE
"YDR062W",TRUE
"YJL134W",FALSE
"YOR171C",FALSE
"YLR104W",FALSE
"YOR322C",FALSE
"YNL323W",TRUE
"YOR123C",TRUE
"YGL009C",TRUE
"YCL018W",TRUE
"YNL104C",TRUE
"YOR108W",FALSE
"YDL051W",TRUE
"YKL073W",TRUE
"YJR070C",TRUE
"YMR298W",FALSE
"YOR196C",FALSE
"YPR139C",TRUE
"YFR001W",TRUE
"YLR011W",TRUE
"YFL018C",FALSE
"YGR136W",TRUE
"YFR024C-A",TRUE
"YCL034W",FALSE
"YOR142W",TRUE
"YGR244C",TRUE
"YGL099W",TRUE
"YJL124C",FALSE
"YHR121W",TRUE
"YBL026W",FALSE
"YLR438C-A",FALSE
"YER112W",FALSE
"YER146W",TRUE
"YDR378C",TRUE
"YNL147W",TRUE
"YGR169C-A",FALSE
"YPL004C",TRUE
"YPR073C",TRUE
"YKL143W",FALSE
"YIR034C",TRUE
"YIL094C",TRUE
"YBR115C",TRUE
"YDL182W",TRUE
"YDL131W",TRUE
"YDR234W",TRUE
"YNR050C",TRUE
"YGL086W",FALSE
"YJL030W",TRUE
"YKL029C",TRUE
"YKL021C",FALSE
"YDR060W",FALSE
"YOL060C",FALSE
"YIL070C",FALSE
"YLR244C",TRUE
"YBL091C",FALSE
"YLR163C",TRUE
"YHR024C",TRUE
"YOR298C-A",TRUE
"YOR197W",TRUE
"YKL165C",TRUE
"YNL307C",TRUE
"YMR043W",FALSE
"YBL023C",TRUE
"YEL032W",FALSE
"YPR019W",FALSE
"YLR274W",FALSE
"YGL201C",FALSE
"YBR202W",FALSE
"YKL150W",TRUE
"YOR221C",TRUE
"YBR227C",FALSE
"YGR012W",TRUE
"YNL173C",TRUE
"YKL085W",TRUE
"YOL126C",TRUE
"YDL078C",TRUE
"YFL016C",FALSE
"YPL270W",TRUE
"YOL076W",TRUE
"YOL027C",FALSE
"YLR106C",FALSE
"YGR100W",FALSE
"YOL111C",TRUE
"YLR069C",FALSE
"YNL142W",TRUE
"YGR264C",TRUE
"YKR069W",FALSE
"YFR030W",TRUE
"YPL023C",FALSE
"YGL125W",TRUE
"YKL001C",FALSE
"YPR167C",FALSE
"YLR303W",TRUE
"YIL128W",TRUE
"YNL277W",FALSE
"YOL064C",TRUE
"YJR010W",TRUE
"YJR137C",TRUE
"YER091C",TRUE
"YOR241W",FALSE
"YLR017W",TRUE
"YPL169C",TRUE
"YOR232W",FALSE
"YOR211C",TRUE
"YJR144W",TRUE
"YJR008W",TRUE
"YJL042W",FALSE
"YKL195W",TRUE
"YCL057C-A",TRUE
"YBR262C",TRUE
"YFR011C",TRUE
"YKR016W",TRUE
"YGL035C",FALSE
"YJR077C",TRUE
"YBR084W",TRUE
"YEL007W",FALSE
"YDR031W",TRUE
"YMR002W",TRUE
"YBL107C",FALSE
"YGL106W",FALSE
"YKR095W",FALSE
"YIL051C",TRUE
"YGL087C",FALSE
"YER001W",TRUE
"YDR245W",TRUE
"YJL183W",TRUE
"YBR015C",FALSE
"YKL201C",FALSE
"YJL186W",TRUE
"YPL050C",TRUE
"YGL068W",FALSE
"YJR131W",TRUE
"YIL106W",TRUE
"YNL297C",FALSE
"YPL082C",FALSE
"YER068W",FALSE
"YOR288C",FALSE
"YOL088C",FALSE
"YJL066C",TRUE
"YJR002W",FALSE
"YGL178W",FALSE
"YPR112C",TRUE
