"","ORF","OEgenename","metal","zscore_OEmetallomics"
"404","YBR223C","TDP1","As",0.121063363
"405","YBR223W-A","YBR223W-A","As",-0.217802767
"406","YBR224W","YBR224W","As",-0.134643433
"407","YBR225W","YBR225W","As",-0.469660035
"408","YBR226C","YBR226C","As",-0.611063449
"409","YBR227C","MCX1","As",0.141041116
"410","YBR228W","SLX1","As",-1.332739376
"411","YBR230C","OM14","As",0.119296567
"412","YBR231C","SWC5","As",-0.264003463
"413","YBR232C","YBR232C","As",-0.355052632
"414","YBR233W","PBP2","As",0.723093858
"415","YBR233W-A","DAD3","As",-0.227323812
"416","YBR234C","ARC40","As",1.181223776
"417","YBR235W","VHC1","As",0.861022674
"418","YBR237W","PRP5","As",0.060449483
"419","YBR238C","YBR238C","As",0.654345314
"420","YBR239C","ERT1","As",-0.143062981
"421","YBR241C","YBR241C","As",1.218069104
"422","YBR242W","YBR242W","As",0.067681382
"423","YBR243C","ALG7","As",-0.828346652
"424","YBR244W","GPX2","As",0.186702248
"425","YBR245C","ISW1","As",-0.616906598
"426","YBR246W","RRT2","As",0.054806843
"427","YBR247C","ENP1","As",-1.179734664
"428","YBR248C","HIS7","As",-0.538111609
"429","YBR249C","ARO4","As",1.457138239
"430","YBR250W","SPO23","As",0.081792294
"431","YBR251W","MRPS5","As",-0.09254672
"432","YBR252W","DUT1","As",-0.818367801
"433","YBR253W","SRB6","As",-0.877147021
"434","YBR254C","TRS20","As",0.011654494
"435","YBR255C-A","YBR255C-A","As",0.018763779
"436","YBR256C","RIB5","As",0.193508087
"437","YBR257W","POP4","As",0.9644371
"438","YBR258C","SHG1","As",-2.399349316
"439","YBR259W","YBR259W","As",-0.599416585
"440","YBR260C","RGD1","As",-0.299857284
"441","YBR261C","TAE1","As",1.062014826
"442","YBR262C","MIC12","As",-0.875567425
"443","YBR263W","SHM1","As",-1.100664683
"444","YBR264C","YPT10","As",0.62692909
"445","YBR265W","TSC10","As",0.411231977
"446","YBR266C","SLM6","As",-0.357768843
"447","YBR267W","REI1","As",0.675466689
"448","YBR268W","MRPL37","As",-0.635801069
"449","YBR271W","EFM2","As",-0.71492562
"450","YBR272C","HSM3","As",-0.910614859
"451","YBR273C","UBX7","As",0.7810215
"452","YBR274W","CHK1","As",1.011681872
"453","YBR276C","PPS1","As",-0.679243664
"454","YBR277C","YBR277C","As",0.021892627
"455","YBR278W","DPB3","As",-0.285863367
"456","YBR279W","PAF1","As",-0.830927036
"457","YBR280C","SAF1","As",0.646957336
"458","YBR281C","DUG2","As",0.888977024
"459","YBR282W","MRPL27","As",1.201001495
"460","YBR283C","SSH1","As",-1.19245596
"461","YBR284W","YBR284W","As",-0.964508864
"462","YBR286W","APE3","As",-0.025092619
"463","YBR287W","YBR287W","As",0.21991377
"464","YBR289W","SNF5","As",-0.170742831
"465","YBR291C","CTP1","As",-1.343056132
"466","YBR292C","YBR292C","As",-1.34069677
"467","YBR293W","VBA2","As",-0.513581211
"468","YBR294W","SUL1","As",-0.28350844
"469","YBR295W","PCA1","As",-0.674647766
"470","YBR296C","PHO89","As",-0.307667187
"471","YBR296C-A","YBR296C-A","As",0.127259863
"472","YBR297W","MAL33","As",-0.348999956
"473","YBR298C","MAL31","As",1.584425651
"474","YBR298C-A","YBR298C-A","As",-0.073492426
"475","YBR300C","YBR300C","As",-0.217713588
"476","YCL001W","RER1","As",0.501028311
"477","YCL001W-A","YCL001W-A","As",-0.240973092
"478","YCL001W-B","YCL001W-B","As",-0.792061377
"479","YCL004W","PGS1","As",0.149003718
"480","YCL005W","LDB16","As",-0.926177718
"481","YCL007C","CWH36","As",-0.135869363
"482","YCL008C","STP22","As",0.542719376
"483","YCL009C","ILV6","As",-0.075325513
"484","YCL010C","SGF29","As",-2.100491329
"485","YCL011C","GBP2","As",0.555934904
"486","YCL017C","NFS1","As",0.126031532
"487","YCL018W","LEU2","As",-1.635177231
"488","YCL021W-A","YCL021W-A","As",0.359163852
"489","YCL022C","YCL022C","As",-1.655097023
"490","YCL023C","YCL023C","As",1.266292953
"491","YCL024W","KCC4","As",-0.959282362
"492","YCL025C","AGP1","As",-0.765511378
"493","YCL026C-A","FRM2","As",0.758060312
"494","YCL027C-A","YCL027C-A","As",0.568953052
"495","YCL027W","FUS1","As",3.137394522
"496","YCL028W","RNQ1","As",-0.072074763
"497","YCL029C","BIK1","As",-0.273599203
"498","YCL030C","HIS4","As",-0.33193437
"499","YCL031C","RRP7","As",-1.055865785
"500","YCL033C","MXR2","As",-0.501380868
"501","YCL034W","LSB5","As",-0.457168208
"502","YCL035C","GRX1","As",-1.157494728
"503","YCL036W","GFD2","As",0.995826393
"504","YCL037C","SRO9","As",0.338384452
"505","YCL038C","ATG22","As",1.147760753
"506","YCL039W","GID7","As",-0.980313377
"507","YCL040W","GLK1","As",-0.490943736
"508","YCL041C","YCL041C","As",-0.867101822
"509","YCL042W","YCL042W","As",1.05267942
"510","YCL043C","PDI1","As",-2.491330958
"511","YCL044C","MGR1","As",2.132205511
"512","YCL045C","EMC1","As",0.485939112
"513","YCL046W","YCL046W","As",-0.826862129
"514","YCL047C","POF1","As",-1.563720053
"515","YCL048W","SPS22","As",0.529129195
"516","YCL049C","YCL049C","As",0.825754028
"517","YCL050C","APA1","As",0.140029689
"518","YCL051W","LRE1","As",-0.33104968
"519","YCL052C","PBN1","As",0.19519057
"520","YCL055W","KAR4","As",-0.826804786
"521","YCL056C","PEX34","As",0.543281919
"522","YCL057C-A","MIC10","As",-0.395136258
"523","YCL057W","PRD1","As",-0.770347063
"524","YCL058C","FYV5","As",0.509159597
"525","YCL059C","KRR1","As",0.19167227
"526","YCL061C","MRC1","As",0.006414417
"527","YCL063W","VAC17","As",0.449347696
"528","YCL064C","CHA1","As",-0.595128945
"529","YCL065W","YCL065W","As",-1.009419689
"530","YCL068C","YCL068C","As",-0.038579817
"531","YCL073C","GEX1","As",0.505131924
"532","YCL074W","TY5A","As",0.895998651
"533","YCL075W","TY5B","As",-0.638489991
"534","YCL076W","YCL076W","As",-0.559340093
"535","YCR001W","YCR001W","As",-0.141782624
"536","YCR002C","CDC10","As",0.426383772
"537","YCR003W","MRPL32","As",0.812063786
"538","YCR004C","YCP4","As",-1.299259873
"539","YCR005C","CIT2","As",-0.155916886
"540","YCR007C","YCR007C","As",-3.992800254
"541","YCR008W","SAT4","As",0.920058795
"542","YCR009C","RVS161","As",-2.438579079
"543","YCR011C","ADP1","As",-0.092476654
"544","YCR012W","PGK1","As",0.084477929
"545","YCR014C","POL4","As",0.986174529
"546","YCR015C","CTO1","As",0.658077231
"547","YCR016W","YCR016W","As",0.061603949
"548","YCR017C","CWH43","As",2.304934139
"549","YCR019W","MAK32","As",0.315018356
"550","YCR020C","PET18","As",-0.488290462
